Pet,Personality,SWB
Cat,Introvert,33
Cat,Introvert,18
Cat,Introvert,23
Cat,Introvert,30
Cat,Introvert,21
Cat,Introvert,22
Cat,Introvert,32
Cat,Introvert,17
Cat,Introvert,22
Cat,Introvert,26
Cat,Introvert,25
Cat,Introvert,25
Cat,Introvert,21
Cat,Introvert,30
Cat,Introvert,30
Cat,Introvert,19
Cat,Introvert,26
Cat,Introvert,28
Cat,Introvert,21
Cat,Introvert,23
Cat,Introvert,33
Cat,Introvert,26
Cat,Introvert,26
Cat,Introvert,20
Cat,Introvert,18
Cat,Extrovert,11
Cat,Extrovert,22
Cat,Extrovert,29
Cat,Extrovert,18
Cat,Extrovert,24
Cat,Extrovert,24
Cat,Extrovert,21
Cat,Extrovert,11
Cat,Extrovert,29
Cat,Extrovert,23
Cat,Extrovert,17
Cat,Extrovert,20
Cat,Extrovert,17
Cat,Extrovert,24
Cat,Extrovert,18
Cat,Extrovert,22
Cat,Extrovert,16
Cat,Extrovert,20
Cat,Extrovert,24
Cat,Extrovert,14
Cat,Extrovert,18
Cat,Extrovert,18
Cat,Extrovert,19
Cat,Extrovert,18
Cat,Extrovert,14
Dog,Introvert,24
Dog,Introvert,24
Dog,Introvert,29
Dog,Introvert,23
Dog,Introvert,15
Dog,Introvert,21
Dog,Introvert,13
Dog,Introvert,17
Dog,Introvert,23
Dog,Introvert,13
Dog,Introvert,20
Dog,Introvert,27
Dog,Introvert,26
Dog,Introvert,18
Dog,Introvert,24
Dog,Introvert,17
Dog,Introvert,15
Dog,Introvert,13
Dog,Introvert,28
Dog,Introvert,22
Dog,Introvert,26
Dog,Introvert,23
Dog,Introvert,14
Dog,Introvert,20
Dog,Introvert,18
Dog,Extrovert,26
Dog,Extrovert,23
Dog,Extrovert,20
Dog,Extrovert,21
Dog,Extrovert,28
Dog,Extrovert,26
Dog,Extrovert,33
Dog,Extrovert,29
Dog,Extrovert,21
Dog,Extrovert,17
Dog,Extrovert,21
Dog,Extrovert,25
Dog,Extrovert,28
Dog,Extrovert,35
Dog,Extrovert,22
Dog,Extrovert,19
Dog,Extrovert,24
Dog,Extrovert,22
Dog,Extrovert,20
Dog,Extrovert,36
Dog,Extrovert,27
Dog,Extrovert,17
Dog,Extrovert,30
Dog,Extrovert,27
Dog,Extrovert,19
None,Introvert,15
None,Introvert,23
None,Introvert,22
None,Introvert,24
None,Introvert,18
None,Introvert,19
None,Introvert,28
None,Introvert,29
None,Introvert,20
None,Introvert,20
None,Introvert,26
None,Introvert,26
None,Introvert,21
None,Introvert,22
None,Introvert,12
None,Introvert,25
None,Introvert,25
None,Introvert,30
None,Introvert,22
None,Introvert,25
None,Introvert,20
None,Introvert,20
None,Introvert,25
None,Introvert,18
None,Introvert,17
None,Extrovert,29
None,Extrovert,25
None,Extrovert,22
None,Extrovert,21
None,Extrovert,25
None,Extrovert,15
None,Extrovert,35
None,Extrovert,17
None,Extrovert,16
None,Extrovert,10
None,Extrovert,27
None,Extrovert,22
None,Extrovert,38
None,Extrovert,14
None,Extrovert,25
None,Extrovert,17
None,Extrovert,29
None,Extrovert,25
None,Extrovert,29
None,Extrovert,16
None,Extrovert,23
None,Extrovert,16
None,Extrovert,30
None,Extrovert,18
None,Extrovert,21